date,region,category,traffic,conversion_rate,orders,avg_order_value,gross_revenue,marketing_spend,return_rate,refunds,net_revenue,margin_pct,gross_margin,roas,cac_proxy,seasonality_index
2023-01-09,North America,Sports & Outdoors,5654,0.0405,229,88.26,20210.79,4546.15,0.091,1838.98,18371.81,0.3683,2219.63,4.4457,19.8522,0.66
2023-01-16,Asia Pacific,Apparel,5660,0.0277,157,74.65,11719.97,3553.04,0.0997,1168.86,10551.11,0.3508,148.26,3.2986,22.6308,0.88
2023-01-16,Asia Pacific,Electronics,8103,0.0339,274,225.12,61683.15,6147.6,0.1328,8192.45,53490.7,0.3775,14047.62,10.0337,22.4365,0.88
2023-01-16,Asia Pacific,Health & Beauty,4392,0.0318,139,60.65,8430.74,3281.05,0.0951,801.55,7629.19,0.3878,-322.11,2.5695,23.6047,0.88
2023-01-16,Asia Pacific,Home & Garden,4248,0.0339,143,89.01,12728.31,3996.19,0.0858,1092.1,11636.21,0.4098,772.26,3.1851,27.9454,0.88
2023-01-16,Asia Pacific,Sports & Outdoors,5116,0.031,158,82.26,12997.43,2800.71,0.0762,990.23,12007.21,0.3924,1910.43,4.6408,17.726,0.88
2023-01-16,Europe,Apparel,7382,0.0366,270,76.61,20684.03,4827.11,0.0972,2011.5,18672.53,0.3884,2425.43,4.285,17.8782,0.88
2023-01-16,Europe,Electronics,12793,0.0309,394,247.5,97515.35,7002.9,0.111,10822.12,86693.23,0.3967,27389.37,13.925,17.7739,0.88
2023-01-16,Europe,Health & Beauty,5015,0.0364,182,59.35,10801.15,4356.43,0.0868,937.49,9863.66,0.3591,-814.06,2.4794,23.9364,0.88
2023-01-16,Europe,Home & Garden,6152,0.0274,168,83.43,14016.8,4887.85,0.0905,1268.91,12747.89,0.3707,-162.06,2.8677,29.0944,0.88
2023-01-16,Europe,Sports & Outdoors,6771,0.0376,254,80.54,20457.78,3570.11,0.0832,1702.75,18755.03,0.3481,2959.28,5.7303,14.0555,0.88
2023-01-16,Latin America,Apparel,3324,0.0293,97,78.09,7574.68,2229.14,0.1057,800.37,6774.31,0.3482,129.47,3.398,22.9808,0.88
2023-01-16,Latin America,Electronics,5792,0.0272,157,237.91,37351.25,3397.44,0.1012,3780.78,33570.47,0.3977,9952.9,10.9939,21.6397,0.88
2023-01-16,Latin America,Health & Beauty,2470,0.0314,77,64.79,4988.6,2143.01,0.0964,480.65,4507.95,0.3866,-400.15,2.3278,27.8313,0.88
2023-01-16,Latin America,Home & Garden,2984,0.0323,96,81.63,7836.73,1708.81,0.0967,757.43,7079.3,0.3725,928.26,4.5861,17.8002,0.88
2023-01-16,Latin America,Sports & Outdoors,3016,0.028,84,91.31,7670.36,1983.46,0.1086,833.07,6837.29,0.3864,658.31,3.8672,23.6126,0.88
2023-01-16,North America,Apparel,9902,0.0245,242,76.46,18502.14,8113.87,0.1094,2023.68,16478.45,0.3733,-1963.23,2.2803,33.5284,0.88
2023-01-16,North America,Electronics,14241,0.0277,394,248.61,97953.82,8791.58,0.115,11267.39,86686.43,0.379,24062.7,11.1418,22.3137,0.88
2023-01-16,North America,Health & Beauty,7997,0.0281,224,58.46,13096.06,4107.11,0.0879,1150.73,11945.32,0.3684,293.17,3.1886,18.3353,0.88
2023-01-16,North America,Home & Garden,8893,0.0278,247,89.82,22184.87,6771.43,0.0947,2101.98,20082.89,0.4107,1477.4,3.2762,27.4147,0.88
2023-01-16,North America,Sports & Outdoors,7926,0.0392,310,89.44,27727.44,4649.86,0.0883,2447.72,25279.71,0.4156,5857.54,5.9631,14.9996,0.88
2023-01-23,Asia Pacific,Apparel,5215,0.0388,202,72.19,14583.18,4227.52,0.1013,1477.42,13105.77,0.3952,951.76,3.4496,20.9283,0.88
2023-01-23,Asia Pacific,Electronics,8158,0.0357,291,261.12,75987.16,6403.24,0.0908,6896.23,69090.93,0.3913,20629.83,11.867,22.0042,0.88
2023-01-23,Asia Pacific,Health & Beauty,4372,0.0283,123,63.94,7864.39,3251.47,0.0819,643.71,7220.68,0.3761,-535.59,2.4187,26.4347,0.88
2023-01-23,Asia Pacific,Home & Garden,5187,0.0341,176,89.58,15766.3,4470.46,0.0875,1378.98,14387.32,0.3669,808.76,3.5268,25.4004,0.88
2023-01-23,Asia Pacific,Sports & Outdoors,4314,0.0335,144,87.98,12668.83,3344.22,0.0935,1184.63,11484.21,0.3832,1056.14,3.7883,23.2237,0.88
2023-01-23,Europe,Apparel,7439,0.0375,278,71.59,19901.87,4591.34,0.1117,2222.62,17679.24,0.3786,2101.61,4.3347,16.5156,0.88
2023-01-23,Europe,Electronics,10202,0.0409,417,247.34,103142.31,7490.26,0.1007,10389.32,92752.99,0.3884,28532.21,13.7702,17.9623,0.88
2023-01-23,Europe,Health & Beauty,5354,0.0189,101,60.95,6156.37,3860.19,0.0966,594.69,5561.67,0.3423,-1956.58,1.5948,38.2197,0.88
2023-01-23,Europe,Home & Garden,6185,0.0257,158,87.33,13798.19,4546.48,0.0845,1166.16,12632.03,0.4109,644.55,3.0349,28.7752,0.88
2023-01-23,Europe,Sports & Outdoors,5960,0.034,202,82.49,16663.81,4534.48,0.0948,1579.88,15083.93,0.369,1032.05,3.6749,22.4479,0.88
2023-01-23,Latin America,Apparel,3136,0.0346,108,75.33,8135.51,2497.46,0.1124,914.5,7221.01,0.4218,548.04,3.2575,23.1246,0.88
2023-01-23,Latin America,Electronics,4599,0.0353,162,231.97,37579.78,2788.46,0.1062,3989.77,33590.0,0.3486,8922.02,13.4769,17.2127,0.88
2023-01-23,Latin America,Health & Beauty,2863,0.0307,87,60.29,5245.42,1808.96,0.0822,431.02,4814.4,0.3765,3.67,2.8997,20.7926,0.88
2023-01-23,Latin America,Home & Garden,3075,0.0362,111,92.39,10255.24,2344.24,0.1054,1081.15,9174.08,0.3901,1234.15,4.3747,21.1193,0.88
2023-01-23,Latin America,Sports & Outdoors,2750,0.0349,95,86.32,8200.4,1611.0,0.0881,722.26,7478.14,0.3749,1192.36,5.0903,16.9579,0.88
2023-01-23,North America,Apparel,9396,0.0351,329,69.23,22775.44,6842.67,0.1049,2388.6,20386.83,0.417,1657.75,3.3284,20.7984,0.88
2023-01-23,North America,Electronics,13524,0.0286,386,256.98,99194.63,9573.74,0.1046,10373.12,88821.51,0.373,23552.9,10.3611,24.8024,0.88
2023-01-23,North America,Health & Beauty,6474,0.0343,221,60.15,13292.61,4672.74,0.0856,1137.36,12155.25,0.4014,206.69,2.8447,21.1436,0.88
2023-01-23,North America,Home & Garden,10016,0.0301,301,88.81,26730.51,5961.51,0.0902,2410.74,24319.77,0.368,2988.28,4.4838,19.8057,0.88
2023-01-23,North America,Sports & Outdoors,7784,0.023,179,94.13,16848.5,5992.82,0.0894,1506.93,15341.57,0.3726,-276.99,2.8114,33.4795,0.88
2023-01-30,Asia Pacific,Apparel,5234,0.0322,168,74.53,12521.42,4979.45,0.113,1415.46,11105.95,0.3681,-890.88,2.5146,29.6396,0.88
2023-01-30,Asia Pacific,Electronics,9931,0.0351,348,233.68,81322.35,5998.83,0.0978,7949.63,73372.72,0.4047,23691.89,13.5564,17.238,0.88
2023-01-30,Asia Pacific,Health & Beauty,3816,0.0322,122,60.76,7413.2,2961.13,0.1027,761.16,6652.04,0.3569,-587.17,2.5035,24.2715,0.88
2023-01-30,Asia Pacific,Home & Garden,4740,0.0398,188,88.97,16727.29,3987.63,0.1149,1922.53,14804.76,0.3865,1734.42,4.1948,21.2108,0.88
2023-01-30,Asia Pacific,Sports & Outdoors,3721,0.0304,113,88.99,10055.63,3918.12,0.1035,1040.67,9014.95,0.3527,-738.21,2.5664,34.6736,0.88
2023-01-30,Europe,Apparel,6052,0.0339,205,68.86,14117.13,4571.74,0.1188,1677.3,12439.82,0.4165,609.42,3.0879,22.3012,0.88
2023-01-30,Europe,Electronics,10185,0.029,294,237.39,69792.82,9241.52,0.1059,7390.51,62402.31,0.3509,12652.97,7.5521,31.4337,0.88
2023-01-30,Europe,Health & Beauty,6059,0.0361,218,64.32,14021.22,3906.3,0.0981,1375.64,12645.58,0.3506,526.93,3.5894,17.9188,0.88
2023-01-30,Europe,Home & Garden,6687,0.0384,256,85.63,21922.21,4885.22,0.0896,1963.27,19958.94,0.346,2021.52,4.4875,19.0829,0.88
2023-01-30,Europe,Sports & Outdoors,5858,0.0223,130,86.34,11223.82,4210.61,0.0913,1025.3,10198.52,0.3876,-257.89,2.6656,32.3893,0.88
2023-01-30,Latin America,Apparel,3127,0.0239,74,71.25,5272.47,2190.41,0.1002,528.33,4744.14,0.3819,-378.75,2.4071,29.6001,0.88
2023-01-30,Latin America,Electronics,5388,0.0244,131,234.83,30762.82,3544.17,0.1033,3178.08,27584.74,0.3496,6100.34,8.6798,27.0547,0.88
2023-01-30,Latin America,Health & Beauty,2355,0.0371,87,62.58,5444.64,2094.58,0.077,419.05,5025.59,0.418,6.28,2.5994,24.0757,0.88
2023-01-30,Latin America,Home & Garden,3217,0.0332,106,83.0,8798.08,2438.04,0.0704,619.7,8178.38,0.3683,573.85,3.6087,23.0004,0.88
2023-01-30,Latin America,Sports & Outdoors,2418,0.0316,76,80.27,6100.15,1895.23,0.0919,560.9,5539.25,0.3819,220.43,3.2187,24.9373,0.88
2023-01-30,North America,Apparel,9371,0.0403,378,71.09,26872.54,7127.34,0.1106,2970.9,23901.64,0.3626,1539.85,3.7703,18.8554,0.88
2023-01-30,North America,Electronics,14312,0.0338,484,249.04,120537.67,10142.93,0.1251,15083.26,105454.41,0.3719,29072.58,11.8839,20.9565,0.88
2023-01-30,North America,Health & Beauty,7748,0.0313,242,62.77,15189.57,4628.15,0.0903,1370.99,13818.57,0.3829,663.63,3.282,19.1246,0.88
2023-01-30,North America,Home & Garden,10139,0.0338,342,86.74,29664.02,7116.9,0.0726,2154.65,27509.37,0.3397,2228.52,4.1681,20.8097,0.88
2023-01-30,North America,Sports & Outdoors,8605,0.0293,252,91.52,23062.76,5914.17,0.092,2120.79,20941.97,0.3829,2104.72,3.8996,23.4689,0.88
2023-02-06,Asia Pacific,Apparel,6014,0.0427,256,69.53,17798.87,3698.9,0.1061,1888.55,15910.32,0.3717,2214.3,4.8119,14.4488,0.88
2023-02-06,Asia Pacific,Electronics,7606,0.0324,246,236.59,58202.06,5515.58,0.1199,6977.8,51224.26,0.3821,14055.63,10.5523,22.4211,0.88
2023-02-06,Asia Pacific,Health & Beauty,4685,0.0429,201,63.89,12841.75,3131.69,0.0809,1039.25,11802.5,0.3528,1031.74,4.1006,15.5806,0.88
2023-02-06,Asia Pacific,Home & Garden,4824,0.031,149,84.09,12529.15,3663.78,0.0868,1087.27,11441.88,0.3683,549.8,3.4197,24.5892,0.88
2023-02-06,Asia Pacific,Sports & Outdoors,4619,0.0242,111,92.82,10302.98,3706.93,0.0928,956.16,9346.81,0.3833,-124.09,2.7794,33.3957,0.88
2023-02-06,Europe,Apparel,6434,0.0304,195,74.5,14527.85,5948.34,0.1041,1511.73,13016.13,0.3705,-1126.36,2.4423,30.5043,0.88
2023-02-06,Europe,Electronics,9720,0.0317,308,250.36,77110.06,7697.61,0.1134,8745.28,68364.78,0.3671,17399.29,10.0174,24.9923,0.88
2023-02-06,Europe,Health & Beauty,5860,0.0281,164,57.2,9381.47,3485.55,0.09,844.75,8536.72,0.3635,-382.33,2.6915,21.2534,0.88
2023-02-06,Europe,Home & Garden,7501,0.0313,234,90.11,21086.32,4409.9,0.0887,1869.96,19216.36,0.3627,2559.17,4.7816,18.8457,0.88
2023-02-06,Europe,Sports & Outdoors,6056,0.0307,185,88.5,16372.81,4629.1,0.0892,1461.04,14911.77,0.3864,1132.08,3.5369,25.0222,0.88
2023-02-06,Latin America,Apparel,3659,0.0397,145,75.88,11001.92,2860.73,0.1051,1156.84,9845.08,0.3473,558.96,3.8458,19.7291,0.88
2023-02-06,Latin America,Electronics,5588,0.027,150,243.08,36461.5,3332.2,0.1137,4145.03,32316.47,0.3892,9246.89,10.9422,22.2147,0.88
2023-02-06,Latin America,Health & Beauty,2261,0.026,58,59.73,3464.28,2072.25,0.0918,318.04,3146.24,0.3751,-892.02,1.6717,35.7285,0.88
2023-02-06,Latin America,Home & Garden,3147,0.0281,88,85.92,7560.86,2634.62,0.0988,747.26,6813.6,0.3663,-138.91,2.8698,29.9388,0.88
2023-02-06,Latin America,Sports & Outdoors,2680,0.0316,84,84.76,7119.49,1965.62,0.0905,644.06,6475.42,0.362,378.45,3.622,23.4003,0.88
2023-02-06,North America,Apparel,9638,0.0381,366,73.41,26868.69,5592.97,0.1079,2898.04,23970.65,0.362,3083.24,4.804,15.2813,0.88
2023-02-06,North America,Electronics,13165,0.0279,367,251.04,92130.43,10821.81,0.1071,9866.1,82264.33,0.3632,19056.33,8.5134,29.4872,0.88
2023-02-06,North America,Health & Beauty,7114,0.0342,243,59.34,14419.12,5502.94,0.0944,1361.38,13057.74,0.3217,-1302.83,2.6203,22.6459,0.88
2023-02-06,North America,Home & Garden,9547,0.0323,308,88.38,27219.98,5514.68,0.0898,2444.74,24775.24,0.4201,4892.66,4.9359,17.9048,0.88
2023-02-06,North America,Sports & Outdoors,7809,0.0372,290,84.47,24496.68,4700.1,0.0949,2325.11,22171.56,0.3926,4005.0,5.2119,16.2072,0.88
2023-02-13,Asia Pacific,Apparel,5550,0.0255,141,78.55,11075.8,3464.58,0.1064,1178.45,9897.35,0.4009,503.43,3.1969,24.5715,0.88
2023-02-13,Asia Pacific,Electronics,7868,0.0263,206,226.66,46691.41,5104.35,0.1089,5084.49,41606.92,0.3996,11521.97,9.1474,24.7784,0.88
2023-02-13,Asia Pacific,Health & Beauty,4289,0.0286,122,59.49,7257.43,3039.09,0.0892,647.23,6610.2,0.3897,-463.06,2.388,24.9105,0.88
2023-02-13,Asia Pacific,Home & Garden,4785,0.04,191,88.55,16912.28,3728.79,0.0961,1624.61,15287.67,0.3894,2224.56,4.5356,19.5224,0.88
2023-02-13,Asia Pacific,Sports & Outdoors,5276,0.0381,200,91.55,18310.63,3519.72,0.0872,1596.8,16713.83,0.3953,3087.97,5.2023,17.5986,0.88
2023-02-13,Europe,Apparel,8011,0.0301,241,76.52,18442.18,4303.19,0.1066,1966.49,16475.68,0.3468,1410.71,4.2857,17.8556,0.88
2023-02-13,Europe,Electronics,10576,0.0276,292,238.93,69766.83,6623.71,0.0985,6871.54,62895.29,0.4013,18615.17,10.5329,22.684,0.88
2023-02-13,Europe,Health & Beauty,5710,0.023,131,56.04,7341.06,4465.94,0.0972,713.77,6627.28,0.359,-2086.65,1.6438,34.0911,0.88
2023-02-13,Europe,Home & Garden,7397,0.0336,248,88.78,22018.6,5416.15,0.0993,2185.36,19833.24,0.3953,2424.07,4.0654,21.8393,0.88
2023-02-13,Europe,Sports & Outdoors,5851,0.0288,168,89.33,15007.45,3973.89,0.0931,1397.03,13610.42,0.3806,1205.76,3.7765,23.6541,0.88
2023-02-13,Latin America,Apparel,3606,0.0228,82,72.13,5914.57,2478.75,0.1072,633.93,5280.64,0.3762,-492.27,2.3861,30.2286,0.88
2023-02-13,Latin America,Electronics,4486,0.0304,136,242.78,33017.56,3658.3,0.0987,3257.3,29760.26,0.4204,8851.79,9.0254,26.8993,0.88
2023-02-13,Latin America,Health & Beauty,2423,0.0251,60,64.02,3841.5,1978.96,0.1008,387.3,3454.2,0.3879,-638.95,1.9412,32.9826,0.88
2023-02-13,Latin America,Home & Garden,3023,0.0256,77,89.97,6927.5,2169.72,0.0743,514.49,6413.0,0.382,280.14,3.1928,28.1782,0.88
2023-02-13,Latin America,Sports & Outdoors,2831,0.0333,94,86.92,8170.32,2438.87,0.0889,726.13,7444.19,0.3744,348.34,3.35,25.9455,0.88
2023-02-13,North America,Apparel,9243,0.0316,292,69.3,20235.8,5644.34,0.1119,2263.51,17972.29,0.3695,997.24,3.5851,19.3299,0.88
2023-02-13,North America,Electronics,12822,0.0353,452,252.28,114032.32,10252.16,0.1027,11708.37,102323.95,0.3846,29106.05,11.1228,22.6818,0.88
2023-02-13,North America,Health & Beauty,8095,0.0168,135,59.74,8064.99,5772.87,0.0875,705.38,7359.61,0.3507,-3192.03,1.3971,42.762,0.88
2023-02-13,North America,Home & Garden,9567,0.0328,314,85.96,26992.48,6107.13,0.073,1969.54,25022.94,0.3852,3530.52,4.4198,19.4495,0.88
2023-02-13,North America,Sports & Outdoors,8224,0.034,279,86.38,24099.49,6051.78,0.0896,2160.17,21939.32,0.3703,2071.43,3.9822,21.691,0.88
2023-02-20,Asia Pacific,Apparel,5688,0.0271,154,70.36,10835.85,3946.3,0.1019,1104.65,9731.21,0.3841,-208.5,2.7458,25.6253,0.88
2023-02-20,Asia Pacific,Electronics,7867,0.0399,313,237.97,74484.14,5695.53,0.0994,7401.0,67083.14,0.3998,21125.33,13.0776,18.1966,0.88
2023-02-20,Asia Pacific,Health & Beauty,3996,0.0286,114,60.86,6937.9,3080.19,0.1047,726.34,6211.56,0.3846,-690.94,2.2524,27.0192,0.88
2023-02-20,Asia Pacific,Home & Garden,5504,0.0354,194,87.97,17065.94,4070.48,0.096,1638.76,15427.19,0.3833,1842.06,4.1926,20.9818,0.88
2023-02-20,Asia Pacific,Sports & Outdoors,5062,0.031,157,86.27,13544.49,3747.47,0.1033,1399.32,12145.17,0.365,685.66,3.6143,23.8693,0.88
2023-02-20,Europe,Apparel,6526,0.0362,236,74.23,17517.46,4887.88,0.102,1786.96,15730.51,0.3756,1020.29,3.5839,20.7114,0.88
2023-02-20,Europe,Electronics,10863,0.0369,400,245.39,98154.11,7859.53,0.0939,9217.62,88936.49,0.3973,27471.54,12.4886,19.6488,0.88
2023-02-20,Europe,Health & Beauty,5542,0.0371,205,62.28,12766.79,3985.21,0.0988,1260.86,11505.93,0.3654,218.9,3.2035,19.44,0.88
2023-02-20,Europe,Home & Garden,5966,0.0285,170,83.99,14277.69,5115.42,0.0914,1304.48,12973.2,0.3522,-546.4,2.7911,30.0907,0.88
2023-02-20,Europe,Sports & Outdoors,5795,0.0304,175,85.72,15001.28,3515.03,0.0931,1396.07,13605.21,0.3846,1717.96,4.2678,20.0859,0.88
2023-02-20,Latin America,Apparel,3012,0.0319,96,77.36,7426.65,2360.9,0.1014,752.75,6673.89,0.355,8.66,3.1457,24.5928,0.88
2023-02-20,Latin America,Electronics,4512,0.032,144,233.63,33643.02,2961.58,0.101,3398.1,30244.92,0.3606,7944.42,11.3598,20.5666,0.88
2023-02-20,Latin America,Health & Beauty,2040,0.0258,52,62.39,3244.22,1764.85,0.0855,277.48,2966.75,0.3579,-702.94,1.8382,33.9393,0.88
2023-02-20,Latin America,Home & Garden,3251,0.0368,119,87.24,10381.95,2142.37,0.1059,1099.35,9282.6,0.3801,1386.24,4.846,18.0031,0.88
2023-02-20,Latin America,Sports & Outdoors,2678,0.0271,72,89.9,6472.85,1828.76,0.0855,553.15,5919.7,0.3692,357.01,3.5395,25.3994,0.88
2023-02-20,North America,Apparel,7553,0.0359,271,75.19,20375.22,6251.42,0.0975,1985.88,18389.34,0.3967,1043.93,3.2593,23.068,0.88
2023-02-20,North America,Electronics,13856,0.0331,458,253.54,116121.32,9941.42,0.1134,13171.79,102949.53,0.3814,29318.54,11.6806,21.7062,0.88
2023-02-20,North America,Health & Beauty,6745,0.0371,250,56.54,14135.58,5827.14,0.0896,1265.97,12869.61,0.3562,-1243.6,2.4258,23.3086,0.88
2023-02-20,North America,Home & Garden,9583,0.0241,231,85.19,19677.74,5622.08,0.0823,1619.03,18058.71,0.3811,1259.54,3.5001,24.338,0.88
2023-02-20,North America,Sports & Outdoors,7722,0.0421,325,81.43,26463.96,5890.38,0.0766,2026.27,24437.7,0.3778,3343.04,4.4927,18.1242,0.88
2023-02-27,Asia Pacific,Apparel,5063,0.0361,182,74.72,13598.81,4115.88,0.1195,1625.45,11973.37,0.3712,329.16,3.304,22.6147,0.88
2023-02-27,Asia Pacific,Electronics,9618,0.0232,223,241.61,53878.5,6572.32,0.0964,5195.2,48683.29,0.3913,12479.09,8.1978,29.4723,0.88
2023-02-27,Asia Pacific,Health & Beauty,3862,0.0341,131,62.59,8198.88,3102.29,0.0803,658.31,7540.57,0.4152,28.26,2.6428,23.6816,0.88
2023-02-27,Asia Pacific,Home & Garden,5290,0.0397,209,85.83,17937.92,3964.08,0.0933,1673.81,16264.11,0.3678,2018.0,4.5251,18.9669,0.88
2023-02-27,Asia Pacific,Sports & Outdoors,4651,0.0338,156,89.2,13915.68,3190.17,0.1051,1462.1,12453.59,0.3884,1647.32,4.362,20.4498,0.88
2023-02-27,Europe,Apparel,7299,0.0369,269,66.57,17906.04,4629.04,0.1093,1956.64,15949.39,0.378,1400.19,3.8682,17.2083,0.88
2023-02-27,Europe,Electronics,10441,0.0351,366,248.72,91033.07,6573.14,0.096,8740.6,82292.47,0.3658,23526.06,13.8492,17.9594,0.88
2023-02-27,Europe,Health & Beauty,5557,0.0319,177,60.58,10722.97,3773.92,0.0906,971.32,9751.65,0.3807,-61.59,2.8413,21.3216,0.88
2023-02-27,Europe,Home & Garden,6630,0.0245,162,87.31,14144.86,3979.14,0.0942,1332.88,12811.98,0.3876,986.27,3.5548,24.5626,0.88
2023-02-27,Europe,Sports & Outdoors,6343,0.0293,186,94.13,17508.89,4047.73,0.083,1453.22,16055.67,0.3601,1734.34,4.3256,21.762,0.88
